word,freq,cluster#,,,,,,
board,377,0,,,,,,
brand,195,0,,,,,,
business,292,0,,,,,,
capital,216,0,,,,,,
center,46,0,,,,,,
community,147,0,,,,,,
data,159,0,,,,,,
donors,283,0,,,,,,
example,281,0,,,,,,
financial,226,0,,,,,,
for-profit,232,0,,,,,,
foundation,92,0,,,,,,
funders,237,0,,,,,,
funding,416,0,,,,,,
giving,140,0,,,,,,
good,156,0,,,,,,
government,242,0,,,,,,
group,165,0,,,,,,
growth,145,0,,,,,,
help,253,0,,,,,,
impact,243,0,,,,,,
important,200,0,,,,,,
leaders,245,0,,,,,,
leadership,151,0,,,,,,
local,190,0,,,,,,
management,229,0,,,,,,
members,215,0,,,,,,
million,204,0,,,,,,
mission,209,0,,,,,,
money,211,0,,,,,,
percent,214,0,,,,,,
performance,157,0,,,,,,
program,262,0,,,,,,
programs,235,0,,,,,,
public,230,0,,,,,,
research,194,0,,,,,,
resources,165,0,,,,,,
says,220,0,,,,,,
service,201,0,,,,,,
services,292,0,,,,,,
staff,209,0,,,,,,
support,197,0,,,,,,
use,202,0,,,,,,
world,100,0,,,,,,
approach,143,1,,,,,,
change,193,1,,,,,,
community,120,1,,,,,,
create,92,1,,,,,,
different,93,1,,,,,,
donors,117,1,,,,,,
education,97,1,,,,,,
effective,63,1,,,,,,
environmental,90,1,,,,,,
funders,128,1,,,,,,
general,108,1,,,,,,
government,98,1,,,,,,
grant,135,1,,,,,,
grantees,175,1,,,,,,
grants,130,1,,,,,,
impact,109,1,,,,,,
important,117,1,,,,,,
investment,99,1,,,,,,
leaders,87,1,,,,,,
leadership,88,1,,,,,,
media,79,1,,,,,,
million,162,1,,,,,,
money,115,1,,,,,,
nonprofit,139,1,,,,,,
operating,102,1,,,,,,
organization,181,1,,,,,,
percent,184,1,,,,,,
philanthropic,78,1,,,,,,
philanthropy,248,1,,,,,,
policy,142,1,,,,,,
political,92,1,,,,,,
problems,109,1,,,,,,
program,232,1,,,,,,
programs,96,1,,,,,,
project,118,1,,,,,,
public,206,1,,,,,,
research,102,1,,,,,,
resources,91,1,,,,,,
school,89,1,,,,,,
sector,106,1,,,,,,
society,66,1,,,,,,
staff,93,1,,,,,,
strategy,89,1,,,,,,
tax,77,1,,,,,,
think,116,1,,,,,,
use,102,1,,,,,,
venture,110,1,,,,,,
way,114,1,,,,,,
activities,127,2,,,,,,
cause,37,2,,,,,,
change,189,2,,,,,,
city,26,2,,,,,,
climate,6,2,,,,,,
community,147,2,,,,,,
create,150,2,,,,,,
different,158,2,,,,,,
